'Time and date','MCL1 ','II ','V ','ABP ','PLETH '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV'
'[11:00:26.000 11/05/1995]',-0.025,0.074,-0.055,180.400,-0.455
'[11:00:26.002 11/05/1995]',-0.031,0.074,-0.033,180.400,-0.455
'[11:00:26.004 11/05/1995]',-0.025,0.050,-0.021,180.400,-0.455
'[11:00:26.006 11/05/1995]',-0.025,0.025,0.001,180.400,-0.455
'[11:00:26.008 11/05/1995]',-0.025,0.025,0.001,180.400,-0.451
'[11:00:26.010 11/05/1995]',-0.025,0.050,-0.010,180.400,-0.451
'[11:00:26.012 11/05/1995]',-0.025,0.074,-0.033,180.400,-0.451
'[11:00:26.014 11/05/1995]',-0.031,0.074,-0.044,180.400,-0.451
'[11:00:26.016 11/05/1995]',-0.025,0.074,-0.055,180.400,-0.447
'[11:00:26.018 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.447
'[11:00:26.020 11/05/1995]',-0.025,0.050,-0.033,180.400,-0.447
'[11:00:26.022 11/05/1995]',-0.025,0.050,0.001,180.400,-0.447
'[11:00:26.024 11/05/1995]',-0.012,0.050,0.001,180.400,-0.446
'[11:00:26.026 11/05/1995]',-0.025,0.050,0.001,180.400,-0.446
'[11:00:26.028 11/05/1995]',-0.012,0.074,-0.010,180.400,-0.446
'[11:00:26.030 11/05/1995]',-0.012,0.074,-0.033,180.400,-0.446
'[11:00:26.032 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.443
'[11:00:26.034 11/05/1995]',-0.025,0.074,-0.033,180.400,-0.443
'[11:00:26.036 11/05/1995]',-0.012,0.050,-0.021,180.400,-0.443
'[11:00:26.038 11/05/1995]',-0.012,0.050,0.001,180.400,-0.443
'[11:00:26.040 11/05/1995]',-0.006,0.025,0.001,180.400,-0.440
'[11:00:26.042 11/05/1995]',-0.006,0.050,0.012,180.400,-0.440
'[11:00:26.044 11/05/1995]',-0.012,0.050,0.001,180.400,-0.440
'[11:00:26.046 11/05/1995]',-0.012,0.074,-0.021,180.400,-0.440
'[11:00:26.048 11/05/1995]',-0.006,0.074,-0.033,180.400,-0.437
'[11:00:26.050 11/05/1995]',-0.012,0.074,-0.033,180.400,-0.437
'[11:00:26.052 11/05/1995]',-0.006,0.050,-0.021,180.400,-0.437
'[11:00:26.054 11/05/1995]',0.001,0.050,0.001,180.400,-0.437
'[11:00:26.056 11/05/1995]',0.001,0.025,0.023,180.400,-0.434
'[11:00:26.058 11/05/1995]',0.007,0.025,0.023,180.400,-0.434
'[11:00:26.060 11/05/1995]',0.007,0.025,0.023,180.400,-0.434
'[11:00:26.062 11/05/1995]',0.007,0.050,0.001,180.400,-0.434
'[11:00:26.064 11/05/1995]',0.007,0.050,0.001,180.400,-0.431
'[11:00:26.066 11/05/1995]',0.007,0.050,-0.010,180.400,-0.431
'[11:00:26.068 11/05/1995]',0.007,0.050,0.001,180.400,-0.431
'[11:00:26.070 11/05/1995]',0.007,0.025,0.012,180.400,-0.431
'[11:00:26.072 11/05/1995]',0.013,0.025,0.034,180.400,-0.426
'[11:00:26.074 11/05/1995]',0.025,0.002,0.045,180.400,-0.426
'[11:00:26.076 11/05/1995]',0.025,0.025,0.045,180.400,-0.426
'[11:00:26.078 11/05/1995]',0.013,0.025,0.034,180.400,-0.426
'[11:00:26.080 11/05/1995]',0.025,0.025,0.012,180.400,-0.421
'[11:00:26.082 11/05/1995]',0.025,0.025,0.001,180.400,-0.421
'[11:00:26.084 11/05/1995]',0.025,0.025,0.001,180.400,-0.421
'[11:00:26.086 11/05/1995]',0.025,0.025,0.023,180.400,-0.421
'[11:00:26.088 11/05/1995]',0.032,0.002,0.057,180.400,-0.411
'[11:00:26.090 11/05/1995]',0.038,0.002,0.068,180.400,-0.411
'[11:00:26.092 11/05/1995]',0.038,0.002,0.068,180.400,-0.411
'[11:00:26.094 11/05/1995]',0.051,0.002,0.057,180.400,-0.411
'[11:00:26.096 11/05/1995]',0.051,0.002,0.034,180.400,-0.400
'[11:00:26.098 11/05/1995]',0.038,0.002,0.023,180.400,-0.400
'[11:00:26.100 11/05/1995]',0.051,0.002,0.023,180.400,-0.400
'[11:00:26.102 11/05/1995]',0.038,0.002,0.034,180.400,-0.400
'[11:00:26.104 11/05/1995]',0.038,0.002,0.057,180.400,-0.382
'[11:00:26.106 11/05/1995]',0.038,0.002,0.068,180.400,-0.382
'[11:00:26.108 11/05/1995]',0.038,0.002,0.079,180.400,-0.382
'[11:00:26.110 11/05/1995]',0.032,0.002,0.068,180.400,-0.382
'[11:00:26.112 11/05/1995]',0.032,0.002,0.045,180.400,-0.358
