'Time and date','II','MCL1','V','ABP','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV'
'[13:00:22.000 19/05/1995]',0.112,0.052,0.001,55.300,-0.581
'[13:00:22.002 19/05/1995]',0.115,0.052,0.001,55.300,-0.581
'[13:00:22.004 19/05/1995]',0.117,0.052,0.001,55.300,-0.581
'[13:00:22.006 19/05/1995]',0.118,0.062,0.001,55.300,-0.581
'[13:00:22.008 19/05/1995]',0.118,0.062,0.001,54.950,-0.582
'[13:00:22.010 19/05/1995]',0.117,0.062,0.001,54.950,-0.582
'[13:00:22.012 19/05/1995]',0.116,0.062,0.009,54.950,-0.582
'[13:00:22.014 19/05/1995]',0.114,0.072,0.017,54.950,-0.582
'[13:00:22.016 19/05/1995]',0.113,0.072,0.017,54.650,-0.583
'[13:00:22.018 19/05/1995]',0.112,0.072,0.017,54.650,-0.583
'[13:00:22.020 19/05/1995]',0.112,0.072,0.026,54.650,-0.583
'[13:00:22.022 19/05/1995]',0.112,0.072,0.034,54.650,-0.583
'[13:00:22.024 19/05/1995]',0.112,0.082,0.042,54.400,-0.584
'[13:00:22.026 19/05/1995]',0.112,0.082,0.042,54.400,-0.584
'[13:00:22.028 19/05/1995]',0.112,0.093,0.051,54.400,-0.584
'[13:00:22.030 19/05/1995]',0.112,0.103,0.059,54.400,-0.584
'[13:00:22.032 19/05/1995]',0.113,0.103,0.068,54.250,-0.584
'[13:00:22.034 19/05/1995]',0.113,0.103,0.068,54.250,-0.584
'[13:00:22.036 19/05/1995]',0.114,0.103,0.076,54.250,-0.584
'[13:00:22.038 19/05/1995]',0.114,0.103,0.076,54.250,-0.584
'[13:00:22.040 19/05/1995]',0.115,0.113,0.084,54.150,-0.585
'[13:00:22.042 19/05/1995]',0.115,0.123,0.093,54.150,-0.585
'[13:00:22.044 19/05/1995]',0.115,0.134,0.101,54.150,-0.585
'[13:00:22.046 19/05/1995]',0.115,0.144,0.101,54.150,-0.585
'[13:00:22.048 19/05/1995]',0.115,0.144,0.110,54.250,-0.585
'[13:00:22.050 19/05/1995]',0.114,0.144,0.118,54.250,-0.585
'[13:00:22.052 19/05/1995]',0.114,0.154,0.126,54.250,-0.585
'[13:00:22.054 19/05/1995]',0.114,0.154,0.134,54.250,-0.585
'[13:00:22.056 19/05/1995]',0.113,0.164,0.143,54.650,-0.586
'[13:00:22.058 19/05/1995]',0.113,0.154,0.143,54.650,-0.586
'[13:00:22.060 19/05/1995]',0.112,0.154,0.143,54.650,-0.586
'[13:00:22.062 19/05/1995]',0.111,0.164,0.151,54.650,-0.586
'[13:00:22.064 19/05/1995]',0.109,0.164,0.151,55.850,-0.586
'[13:00:22.066 19/05/1995]',0.107,0.164,0.151,55.850,-0.586
'[13:00:22.068 19/05/1995]',0.105,0.164,0.151,55.850,-0.586
'[13:00:22.070 19/05/1995]',0.103,0.154,0.143,55.850,-0.586
'[13:00:22.072 19/05/1995]',0.101,0.154,0.143,58.650,-0.585
'[13:00:22.074 19/05/1995]',0.099,0.164,0.143,58.650,-0.585
'[13:00:22.076 19/05/1995]',0.097,0.154,0.143,58.650,-0.585
'[13:00:22.078 19/05/1995]',0.096,0.154,0.134,58.650,-0.585
'[13:00:22.080 19/05/1995]',0.094,0.144,0.143,63.500,-0.584
'[13:00:22.082 19/05/1995]',0.092,0.134,0.134,63.500,-0.584
'[13:00:22.084 19/05/1995]',0.090,0.134,0.126,63.500,-0.584
'[13:00:22.086 19/05/1995]',0.089,0.144,0.126,63.500,-0.584
'[13:00:22.088 19/05/1995]',0.087,0.134,0.126,70.500,-0.583
'[13:00:22.090 19/05/1995]',0.085,0.134,0.118,70.500,-0.583
