'Time and date','II ','MCL1 ','V ','ABP ','RESP '
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV'
'[14:17:55.000 18/05/1995]',0.307,0.157,0.040,55.643,0.356
'[14:17:55.002 18/05/1995]',0.287,0.157,0.030,55.643,0.356
'[14:17:55.004 18/05/1995]',0.307,0.175,0.030,55.643,0.356
'[14:17:55.006 18/05/1995]',0.307,0.175,0.020,55.643,0.356
'[14:17:55.008 18/05/1995]',0.307,0.166,0.020,56.795,0.349
'[14:17:55.010 18/05/1995]',0.307,0.166,0.020,56.795,0.349
'[14:17:55.012 18/05/1995]',0.307,0.166,0.030,56.795,0.349
'[14:17:55.014 18/05/1995]',0.307,0.166,0.040,56.795,0.349
'[14:17:55.016 18/05/1995]',0.287,0.166,0.040,58.598,0.341
'[14:17:55.018 18/05/1995]',0.287,0.166,0.040,58.598,0.341
'[14:17:55.020 18/05/1995]',0.287,0.166,0.030,58.598,0.341
'[14:17:55.022 18/05/1995]',0.287,0.175,0.030,58.598,0.341
'[14:17:55.024 18/05/1995]',0.287,0.166,0.020,61.152,0.332
'[14:17:55.026 18/05/1995]',0.307,0.166,0.020,61.152,0.332
'[14:17:55.028 18/05/1995]',0.287,0.166,0.030,61.152,0.332
'[14:17:55.030 18/05/1995]',0.287,0.166,0.040,61.152,0.332
'[14:17:55.032 18/05/1995]',0.267,0.157,0.040,64.407,0.323
'[14:17:55.034 18/05/1995]',0.267,0.149,0.040,64.407,0.323
'[14:17:55.036 18/05/1995]',0.247,0.149,0.040,64.407,0.323
'[14:17:55.038 18/05/1995]',0.247,0.140,0.030,64.407,0.323
'[14:17:55.040 18/05/1995]',0.267,0.140,0.030,68.214,0.313
'[14:17:55.042 18/05/1995]',0.267,0.149,0.020,68.214,0.313
'[14:17:55.044 18/05/1995]',0.247,0.140,0.030,68.214,0.313
'[14:17:55.046 18/05/1995]',0.247,0.140,0.030,68.214,0.313
'[14:17:55.048 18/05/1995]',0.226,0.131,0.030,72.421,0.303
'[14:17:55.050 18/05/1995]',0.226,0.131,0.040,72.421,0.303
'[14:17:55.052 18/05/1995]',0.206,0.123,0.030,72.421,0.303
'[14:17:55.054 18/05/1995]',0.206,0.123,0.030,72.421,0.303
'[14:17:55.056 18/05/1995]',0.206,0.131,0.020,76.778,0.294
'[14:17:55.058 18/05/1995]',0.206,0.123,0.020,76.778,0.294
'[14:17:55.060 18/05/1995]',0.206,0.123,0.020,76.778,0.294
'[14:17:55.062 18/05/1995]',0.206,0.114,0.020,76.778,0.294
'[14:17:55.064 18/05/1995]',0.185,0.114,0.030,81.135,0.284
'[14:17:55.066 18/05/1995]',0.185,0.105,0.030,81.135,0.284
'[14:17:55.068 18/05/1995]',0.165,0.097,0.030,81.135,0.284
'[14:17:55.070 18/05/1995]',0.165,0.097,0.020,81.135,0.284
'[14:17:55.072 18/05/1995]',0.165,0.097,0.010,85.242,0.273
'[14:17:55.074 18/05/1995]',0.165,0.088,0.010,85.242,0.273
'[14:17:55.076 18/05/1995]',0.165,0.079,0.010,85.242,0.273
'[14:17:55.078 18/05/1995]',0.144,0.070,0.001,85.242,0.273
'[14:17:55.080 18/05/1995]',0.144,0.070,0.010,88.748,0.260
