'Time and date','aVR','II','V','ABP','PLETH','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mV','mmHg','mV','mV'
'[09:10:08.000 26/12/1995]',0.015,-0.015,-0.020,52.237,-,0.046
'[09:10:08.002 26/12/1995]',0.015,-0.015,-0.020,52.237,-,0.046
'[09:10:08.004 26/12/1995]',0.015,-0.015,-0.020,52.237,-,0.046
'[09:10:08.006 26/12/1995]',0.015,-0.015,-0.020,52.237,-,0.046
'[09:10:08.008 26/12/1995]',0.014,-0.022,-0.027,51.987,-,0.036
'[09:10:08.010 26/12/1995]',0.014,-0.015,-0.027,51.987,-,0.036
'[09:10:08.012 26/12/1995]',0.014,-0.015,-0.027,51.987,-,0.036
'[09:10:08.014 26/12/1995]',0.014,-0.015,-0.027,51.987,-,0.036
'[09:10:08.016 26/12/1995]',0.014,-0.015,-0.027,51.836,-,0.024
'[09:10:08.018 26/12/1995]',0.014,-0.030,-0.020,51.836,-,0.024
'[09:10:08.020 26/12/1995]',0.014,-0.030,-0.027,51.836,-,0.024
'[09:10:08.022 26/12/1995]',0.014,-0.022,-0.027,51.836,-,0.024
'[09:10:08.024 26/12/1995]',0.014,-0.022,-0.027,51.636,-,0.009
'[09:10:08.026 26/12/1995]',0.014,-0.022,-0.033,51.636,-,0.009
'[09:10:08.028 26/12/1995]',0.014,-0.022,-0.027,51.636,-,0.009
'[09:10:08.030 26/12/1995]',0.014,-0.030,-0.027,51.636,-,0.009
'[09:10:08.032 26/12/1995]',0.014,-0.022,-0.033,51.486,-,-0.009
'[09:10:08.034 26/12/1995]',0.014,-0.022,-0.033,51.486,-,-0.009
'[09:10:08.036 26/12/1995]',0.014,-0.022,-0.033,51.486,-,-0.009
'[09:10:08.038 26/12/1995]',0.014,-0.022,-0.033,51.486,-,-0.009
'[09:10:08.040 26/12/1995]',0.014,-0.022,-0.033,51.285,-,-0.030
'[09:10:08.042 26/12/1995]',0.014,-0.022,-0.033,51.285,-,-0.030
'[09:10:08.044 26/12/1995]',0.014,-0.022,-0.033,51.285,-,-0.030
'[09:10:08.046 26/12/1995]',0.015,-0.030,-0.033,51.285,-,-0.030
'[09:10:08.048 26/12/1995]',0.014,-0.022,-0.033,51.185,-,-0.055
'[09:10:08.050 26/12/1995]',0.014,-0.015,-0.033,51.185,-,-0.055
'[09:10:08.052 26/12/1995]',0.014,-0.015,-0.047,51.185,-,-0.055
'[09:10:08.054 26/12/1995]',0.013,-0.022,-0.047,51.185,-,-0.055
'[09:10:08.056 26/12/1995]',0.012,-0.022,-0.047,51.085,-,-0.083
'[09:10:08.058 26/12/1995]',0.012,-0.030,-0.047,51.085,-,-0.083
'[09:10:08.060 26/12/1995]',0.012,-0.022,-0.033,51.085,-,-0.083
'[09:10:08.062 26/12/1995]',0.011,-0.030,-0.047,51.085,-,-0.083
'[09:10:08.064 26/12/1995]',0.011,-0.015,-0.033,50.885,-,-0.113
'[09:10:08.066 26/12/1995]',0.010,-0.015,-0.047,50.885,-,-0.113
'[09:10:08.068 26/12/1995]',0.010,-0.022,-0.047,50.885,-,-0.113
'[09:10:08.070 26/12/1995]',0.009,-0.022,-0.047,50.885,-,-0.113
'[09:10:08.072 26/12/1995]',0.010,-0.022,-0.047,50.785,-,-0.145
'[09:10:08.074 26/12/1995]',0.010,-0.022,-0.047,50.785,-,-0.145
'[09:10:08.076 26/12/1995]',0.011,-0.022,-0.047,50.785,-,-0.145
'[09:10:08.078 26/12/1995]',0.011,-0.022,-0.033,50.785,-,-0.145
'[09:10:08.080 26/12/1995]',0.012,-0.022,-0.047,50.584,-,-0.180
'[09:10:08.082 26/12/1995]',0.012,-0.030,-0.033,50.584,-,-0.180
'[09:10:08.084 26/12/1995]',0.012,-0.030,-0.033,50.584,-,-0.180
'[09:10:08.086 26/12/1995]',0.012,-0.030,-0.047,50.584,-,-0.180
'[09:10:08.088 26/12/1995]',0.012,-0.030,-0.047,50.434,-,-0.217
'[09:10:08.090 26/12/1995]',0.011,-0.030,-0.047,50.434,-,-0.217
'[09:10:08.092 26/12/1995]',0.011,-0.022,-0.033,50.434,-,-0.217
'[09:10:08.094 26/12/1995]',0.010,-0.022,-0.033,50.434,-,-0.217
'[09:10:08.096 26/12/1995]',0.008,-0.022,-0.033,50.234,-,-0.258
'[09:10:08.098 26/12/1995]',0.007,-0.022,-0.033,50.234,-,-0.258
'[09:10:08.100 26/12/1995]',0.006,-0.022,-0.047,50.234,-,-0.258
'[09:10:08.102 26/12/1995]',0.005,-0.022,-0.047,50.234,-,-0.258
'[09:10:08.104 26/12/1995]',0.004,-0.022,-0.047,50.083,-,-0.302
'[09:10:08.106 26/12/1995]',0.002,-0.015,-0.047,50.083,-,-0.302
'[09:10:08.108 26/12/1995]',0.000,0.001,-0.047,50.083,-,-0.302
'[09:10:08.110 26/12/1995]',-0.002,0.008,-0.047,50.083,-,-0.302
'[09:10:08.112 26/12/1995]',-0.004,0.001,-0.047,49.883,-,-0.351
'[09:10:08.114 26/12/1995]',-0.005,0.001,-0.047,49.883,-,-0.351
'[09:10:08.116 26/12/1995]',-0.006,-0.007,-0.047,49.883,-,-0.351
'[09:10:08.118 26/12/1995]',-0.008,-0.007,-0.047,49.883,-,-0.351
'[09:10:08.120 26/12/1995]',-0.009,-0.007,-0.054,49.783,-,-0.403
