'Time and date','I','aVF','ABP','PAP','CVP','PLETH','CO2','RESP'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV','mmHg','mV'
'[23:17:37.000 12/03/1996]',-0.105,-0.079,77.550,31.275,5.750,-0.480,26.750,-0.473
'[23:17:37.002 12/03/1996]',-0.100,-0.081,77.550,31.275,5.750,-0.480,26.750,-0.473
'[23:17:37.004 12/03/1996]',-0.095,-0.081,77.550,31.275,5.750,-0.480,26.750,-0.473
'[23:17:37.006 12/03/1996]',-0.089,-0.081,77.550,31.275,5.750,-0.480,26.750,-0.473
'[23:17:37.008 12/03/1996]',-0.082,-0.081,79.100,31.825,5.862,-0.456,26.783,-0.474
'[23:17:37.010 12/03/1996]',-0.075,-0.081,79.100,31.825,5.862,-0.456,26.783,-0.474
'[23:17:37.012 12/03/1996]',-0.069,-0.081,79.100,31.825,5.862,-0.456,26.783,-0.474
'[23:17:37.014 12/03/1996]',-0.063,-0.081,79.100,31.825,5.862,-0.456,26.783,-0.474
'[23:17:37.016 12/03/1996]',-0.058,-0.082,81.100,31.875,6.037,-0.424,26.817,-0.476
'[23:17:37.018 12/03/1996]',-0.053,-0.083,81.100,31.875,6.037,-0.424,26.817,-0.476
'[23:17:37.020 12/03/1996]',-0.048,-0.086,81.100,31.875,6.037,-0.424,26.817,-0.476
'[23:17:37.022 12/03/1996]',-0.043,-0.088,81.100,31.875,6.037,-0.424,26.817,-0.476
'[23:17:37.024 12/03/1996]',-0.039,-0.091,82.700,31.575,6.275,-0.385,26.850,-0.477
'[23:17:37.026 12/03/1996]',-0.035,-0.095,82.700,31.575,6.275,-0.385,26.850,-0.477
'[23:17:37.028 12/03/1996]',-0.032,-0.099,82.700,31.575,6.275,-0.385,26.850,-0.477
'[23:17:37.030 12/03/1996]',-0.029,-0.103,82.700,31.575,6.275,-0.385,26.850,-0.477
'[23:17:37.032 12/03/1996]',-0.027,-0.107,83.900,31.050,6.450,-0.338,27.117,-0.479
'[23:17:37.034 12/03/1996]',-0.025,-0.112,83.900,31.050,6.450,-0.338,27.117,-0.479
'[23:17:37.036 12/03/1996]',-0.024,-0.117,83.900,31.050,6.450,-0.338,27.117,-0.479
'[23:17:37.038 12/03/1996]',-0.022,-0.121,83.900,31.050,6.450,-0.338,27.117,-0.479
'[23:17:37.040 12/03/1996]',-0.022,-0.125,84.900,30.475,6.688,-0.279,27.417,-0.482
'[23:17:37.042 12/03/1996]',-0.022,-0.129,84.900,30.475,6.688,-0.279,27.417,-0.482
'[23:17:37.044 12/03/1996]',-0.021,-0.134,84.900,30.475,6.688,-0.279,27.417,-0.482
'[23:17:37.046 12/03/1996]',-0.021,-0.138,84.900,30.475,6.688,-0.279,27.417,-0.482
'[23:17:37.048 12/03/1996]',-0.020,-0.143,85.900,30.000,6.862,-0.218,27.717,-0.484
'[23:17:37.050 12/03/1996]',-0.019,-0.148,85.900,30.000,6.862,-0.218,27.717,-0.484
'[23:17:37.052 12/03/1996]',-0.018,-0.152,85.900,30.000,6.862,-0.218,27.717,-0.484
'[23:17:37.054 12/03/1996]',-0.018,-0.157,85.900,30.000,6.862,-0.218,27.717,-0.484
'[23:17:37.056 12/03/1996]',-0.019,-0.162,86.750,29.650,7.037,-0.151,28.017,-0.487
'[23:17:37.058 12/03/1996]',-0.020,-0.166,86.750,29.650,7.037,-0.151,28.017,-0.487
'[23:17:37.060 12/03/1996]',-0.021,-0.170,86.750,29.650,7.037,-0.151,28.017,-0.487
'[23:17:37.062 12/03/1996]',-0.023,-0.174,86.750,29.650,7.037,-0.151,28.017,-0.487
'[23:17:37.064 12/03/1996]',-0.024,-0.178,87.500,29.350,7.213,-0.082,28.183,-0.489
'[23:17:37.066 12/03/1996]',-0.025,-0.182,87.500,29.350,7.213,-0.082,28.183,-0.489
'[23:17:37.068 12/03/1996]',-0.026,-0.188,87.500,29.350,7.213,-0.082,28.183,-0.489
'[23:17:37.070 12/03/1996]',-0.028,-0.193,87.500,29.350,7.213,-0.082,28.183,-0.489
'[23:17:37.072 12/03/1996]',-0.029,-0.198,88.250,28.875,7.450,-0.011,28.383,-0.490
'[23:17:37.074 12/03/1996]',-0.029,-0.203,88.250,28.875,7.450,-0.011,28.383,-0.490
'[23:17:37.076 12/03/1996]',-0.029,-0.207,88.250,28.875,7.450,-0.011,28.383,-0.490
'[23:17:37.078 12/03/1996]',-0.029,-0.212,88.250,28.875,7.450,-0.011,28.383,-0.490
'[23:17:37.080 12/03/1996]',-0.028,-0.216,88.750,28.075,7.625,0.058,28.583,-0.491
'[23:17:37.082 12/03/1996]',-0.027,-0.221,88.750,28.075,7.625,0.058,28.583,-0.491
'[23:17:37.084 12/03/1996]',-0.026,-0.225,88.750,28.075,7.625,0.058,28.583,-0.491
'[23:17:37.086 12/03/1996]',-0.025,-0.229,88.750,28.075,7.625,0.058,28.583,-0.491
'[23:17:37.088 12/03/1996]',-0.026,-0.232,89.050,26.825,7.800,0.123,28.783,-0.492
'[23:17:37.090 12/03/1996]',-0.027,-0.234,89.050,26.825,7.800,0.123,28.783,-0.492
'[23:17:37.092 12/03/1996]',-0.028,-0.235,89.050,26.825,7.800,0.123,28.783,-0.492
'[23:17:37.094 12/03/1996]',-0.029,-0.236,89.050,26.825,7.800,0.123,28.783,-0.492
'[23:17:37.096 12/03/1996]',-0.030,-0.237,89.050,25.250,7.975,0.186,28.933,-0.493
'[23:17:37.098 12/03/1996]',-0.031,-0.238,89.050,25.250,7.975,0.186,28.933,-0.493
'[23:17:37.100 12/03/1996]',-0.032,-0.238,89.050,25.250,7.975,0.186,28.933,-0.493
'[23:17:37.102 12/03/1996]',-0.033,-0.239,89.050,25.250,7.975,0.186,28.933,-0.493
'[23:17:37.104 12/03/1996]',-0.034,-0.240,88.800,23.600,8.150,0.244,29.117,-0.494
'[23:17:37.106 12/03/1996]',-0.035,-0.241,88.800,23.600,8.150,0.244,29.117,-0.494
'[23:17:37.108 12/03/1996]',-0.036,-0.242,88.800,23.600,8.150,0.244,29.117,-0.494
'[23:17:37.110 12/03/1996]',-0.037,-0.244,88.800,23.600,8.150,0.244,29.117,-0.494
'[23:17:37.112 12/03/1996]',-0.038,-0.246,88.300,22.375,8.325,0.299,29.300,-0.495
'[23:17:37.114 12/03/1996]',-0.040,-0.248,88.300,22.375,8.325,0.299,29.300,-0.495
'[23:17:37.116 12/03/1996]',-0.041,-0.249,88.300,22.375,8.325,0.299,29.300,-0.495
