'Time and date','I','aVL','ABP','PAP','CVP','PLETH','CO2'
'hh:mm:ss.mmm dd/mm/yyyy','mV','mV','mmHg','mmHg','mmHg','mV','mmHg'
'[16:39:45.000 01/04/1996]',0.039,0.031,123.550,44.387,29.025,0.111,35.083
'[16:39:45.002 01/04/1996]',0.035,0.031,123.550,44.387,29.025,0.111,35.083
'[16:39:45.004 01/04/1996]',0.030,0.021,123.550,44.387,29.025,0.111,35.083
'[16:39:45.006 01/04/1996]',0.025,0.021,123.550,44.387,29.025,0.111,35.083
'[16:39:45.008 01/04/1996]',0.021,0.021,119.350,43.236,29.075,0.111,35.183
'[16:39:45.010 01/04/1996]',0.017,0.011,119.350,43.236,29.075,0.111,35.183
'[16:39:45.012 01/04/1996]',0.012,0.001,119.350,43.236,29.075,0.111,35.183
'[16:39:45.014 01/04/1996]',0.008,0.001,119.350,43.236,29.075,0.111,35.183
'[16:39:45.016 01/04/1996]',0.005,0.001,115.650,41.985,29.200,0.108,35.283
'[16:39:45.018 01/04/1996]',0.003,0.001,115.650,41.985,29.200,0.108,35.283
'[16:39:45.020 01/04/1996]',0.001,0.001,115.650,41.985,29.200,0.108,35.283
'[16:39:45.022 01/04/1996]',0.000,0.001,115.650,41.985,29.200,0.108,35.283
'[16:39:45.024 01/04/1996]',0.000,-0.009,112.200,40.884,29.375,0.105,35.383
'[16:39:45.026 01/04/1996]',0.000,-0.019,112.200,40.884,29.375,0.105,35.383
'[16:39:45.028 01/04/1996]',0.001,-0.019,112.200,40.884,29.375,0.105,35.383
'[16:39:45.030 01/04/1996]',0.002,-0.009,112.200,40.884,29.375,0.105,35.383
'[16:39:45.032 01/04/1996]',0.003,0.001,108.850,40.183,29.600,0.102,35.483
'[16:39:45.034 01/04/1996]',0.003,0.001,108.850,40.183,29.600,0.102,35.483
'[16:39:45.036 01/04/1996]',0.002,0.001,108.850,40.183,29.600,0.102,35.483
'[16:39:45.038 01/04/1996]',0.002,0.001,108.850,40.183,29.600,0.102,35.483
'[16:39:45.040 01/04/1996]',-0.001,0.001,105.350,39.708,29.837,0.090,35.583
'[16:39:45.042 01/04/1996]',-0.003,0.001,105.350,39.708,29.837,0.090,35.583
'[16:39:45.044 01/04/1996]',-0.004,0.001,105.350,39.708,29.837,0.090,35.583
'[16:39:45.046 01/04/1996]',-0.006,0.001,105.350,39.708,29.837,0.090,35.583
'[16:39:45.048 01/04/1996]',-0.005,-0.009,101.700,39.233,30.137,0.088,35.683
'[16:39:45.050 01/04/1996]',-0.005,-0.009,101.700,39.233,30.137,0.088,35.683
'[16:39:45.052 01/04/1996]',-0.002,-0.009,101.700,39.233,30.137,0.088,35.683
'[16:39:45.054 01/04/1996]',0.000,0.001,101.700,39.233,30.137,0.088,35.683
'[16:39:45.056 01/04/1996]',0.002,0.001,98.050,38.932,30.425,0.082,35.783
'[16:39:45.058 01/04/1996]',0.004,0.001,98.050,38.932,30.425,0.082,35.783
'[16:39:45.060 01/04/1996]',0.005,0.001,98.050,38.932,30.425,0.082,35.783
'[16:39:45.062 01/04/1996]',0.006,0.011,98.050,38.932,30.425,0.082,35.783
'[16:39:45.064 01/04/1996]',0.005,0.001,94.650,39.658,30.663,0.082,35.867
